# runtime: local machine crescent-rose
# python: 3.12.14
# numpy: 2.5.3
# numba: 0.67.0
# cpus: 32
# numba_max_threads: 32
# ram_gb: 31.2
# gpu: NVIDIA GeForce RTX 4090
impl,n,threads,min_s,median_s
numpy,128,1,0.0005518240000128571,0.000554287000113618
numpy,512,1,0.00862277000010181,0.008939716999975644
numpy,1024,1,0.03412158499986617,0.0344738530000086
numba,128,1,6.161999999676482e-05,6.360499992297264e-05
numba,512,1,0.0011946250001528824,0.0011987600000793464
numba,1024,1,0.009696811999901911,0.009742943999981435
numba_prange,1024,1,0.009585072000163564,0.009597020000001066
numba_prange,1024,2,0.006177500000148939,0.0062518380000256
numba_prange,1024,16,0.0039958910001587356,0.005748321000055512
numba_prange,1024,32,0.0053560199999083125,0.006267558999979883
