# runtime: local machine crescent-rose
# python: 3.12.14
# numpy: 2.5.3
# cupy: 14.2.0
# cpus: 32
# ram_gb: 31.2
# gpu: NVIDIA GeForce RTX 4090
impl,n,dtype,scope,min_s,median_s
numpy,64,float64,compute,0.00018773400006466545,0.00018899699716712348
cupy,64,float64,compute,0.0005158340027264785,0.0005197159989620559
numpy,128,float64,compute,0.0004958490026183426,0.0004976579984941054
cupy,128,float64,compute,0.0005142769987287465,0.0005195320009079296
numpy,256,float64,compute,0.0017746109988365788,0.0017753500032995362
cupy,256,float64,compute,0.0005201390013098717,0.0005207659996813163
numpy,512,float64,compute,0.008163709000655217,0.008208382001612335
cupy,512,float64,compute,0.0004910030002065469,0.0004910690004180651
numpy,1024,float64,compute,0.03312198099956731,0.03369132100124261
cupy,1024,float64,compute,0.0006244659998628777,0.0006253350002225488
numpy,2048,float64,compute,0.2421936350001488,0.2462704350000422
cupy,2048,float64,compute,0.005199621002248023,0.0052026030025444925
numpy,4096,float64,compute,1.132919188003143,1.1340579309980967
cupy,4096,float64,compute,0.03518256000097608,0.03518925200114609
numpy,2048,float64,transfer_inclusive,0.24414280299970414,0.26691352000125335
cupy,2048,float64,compute,0.005166123999515548,0.005169380001461832
cupy,2048,float64,transfer_inclusive,0.012799316002201522,0.012886739998066332
numpy,1024,float32,compute,0.016423039000073913,0.01648407199900248
cupy,1024,float32,compute,0.0005637039976136293,0.0005705850016965996
